Model,Imbalance Handling,Accuracy,Precision (1),Recall (1),F1-Score (1)
Linear Regression,None (Original Data),0.8348623853211009,0.8620689655172413,0.07246376811594203,0.13368983957219252
Linear Regression,Random Over-sampling,0.7313965341488278,0.3573667711598746,0.6608695652173913,0.4638860630722278
Linear Regression,SMOTE,0.7517838939857289,0.35450819672131145,0.5014492753623189,0.41536614645858344
Linear Regression,ADASYN,0.7415902140672783,0.341796875,0.5072463768115942,0.40840140023337224
Logistic Regression,None (Original Data),0.8241590214067278,0.0,0.0,0.0
Logistic Regression,Random Over-sampling,0.8241590214067278,0.0,0.0,0.0
Logistic Regression,SMOTE,0.17584097859327216,0.17584097859327216,1.0,0.2990897269180754
Logistic Regression,ADASYN,0.40621814475025486,0.17147435897435898,0.6202898550724638,0.26867545511613306
SVM Classifier,None (Original Data),0.5632008154943935,0.17919799498746866,0.4144927536231884,0.2502187226596675
SVM Classifier,Random Over-sampling,0.5178389398572885,0.1737242128121607,0.463768115942029,0.2527646129541864
SVM Classifier,SMOTE,0.5698267074413863,0.17806451612903226,0.4,0.2464285714285714
SVM Classifier,ADASYN,0.46636085626911317,0.17679558011049723,0.5565217391304348,0.26834381551362685
Dummy Classifier (Most Frequent),None (Original Data),0.8241590214067278,0.0,0.0,0.0
Dummy Classifier (Most Frequent),Random Over-sampling,0.8241590214067278,0.0,0.0,0.0
Dummy Classifier (Most Frequent),SMOTE,0.8241590214067278,0.0,0.0,0.0
Dummy Classifier (Most Frequent),ADASYN,0.17584097859327216,0.17584097859327216,1.0,0.2990897269180754
Decision Tree Classifier,None (Original Data),0.780835881753313,0.36156351791530944,0.3217391304347826,0.34049079754601225
Decision Tree Classifier,Random Over-sampling,0.7655453618756372,0.3241590214067278,0.3072463768115942,0.3154761904761904
Decision Tree Classifier,SMOTE,0.7217125382262997,0.284796573875803,0.3855072463768116,0.3275862068965517
Decision Tree Classifier,ADASYN,0.7395514780835881,0.31877729257641924,0.42318840579710143,0.36363636363636365
Random Forest Classifier,None (Original Data),0.8430173292558614,0.7078651685393258,0.1826086956521739,0.29032258064516125
Random Forest Classifier,Random Over-sampling,0.8379204892966361,0.5944055944055944,0.2463768115942029,0.34836065573770497
Random Forest Classifier,SMOTE,0.8058103975535168,0.43617021276595747,0.3565217391304348,0.3923444976076555
Random Forest Classifier,ADASYN,0.8058103975535168,0.43661971830985913,0.35942028985507246,0.3942766295707472
